,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state,HasTV,GoodForKids,Caters,NoiseLevel,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsDelivery,WiFi,OutdoorSeating,BusinessParking,RestaurantsPriceRange2,RestaurantsGoodForGroups,BikeParking,WheelchairAccessible,RestaurantsReservations,weekday_close_after_23,weekend_close_after_23,weekend_hour_g11
411,7800 Fairview Rd,nwxF9EKLOCpkScMF2utHDw,Charlotte,35.147358,-80.809568,Ben & Jerry's,28226,19,3.5,NC,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,2,No info,TRUE,No info,No info,0,0,0
460,115 Meyran Ave,O-fYUqXjkwNvRfFnlUH6Iw,Pittsburgh,40.4409588,-79.9586082,Insomnia Cookies,15213,18,3,PA,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,1,1,1
1807,2362 Professor Ave,GhOWffUr9yDBxB5Ceqzc_Q,Cleveland,41.4800318,-81.6854883,Tremont Scoops,44113,89,4,OH,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
1897,10965 Lavender Hill Dr,I8T4Xsp3Wv7W-RJhsHrTDA,Las Vegas,36.1448691,-115.3330941,Menchie's Frozen Yogurt,89135,49,3.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
1969,4845 S Fort Apache Rd,iX2c4IzH_L5F6FM5GD3SUQ,Las Vegas,36.10168999,-115.2981503,Tasty Crepes,89147,260,4.5,NV,TRUE,TRUE,TRUE,quiet,TRUE,TRUE,FALSE,Free wifi,FALSE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
2567,2120 E Craig Rd,viFP7j-WLzVhkCFXWGWQDw,Las Vegas,36.24029173,-115.1200517,Sonic Drive-In,89031,55,3,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
3135,11508 Providence Rd,Wlg9fruyWcoW3VuPuRDcpA,Charlotte,35.052984,-80.77077,Carvel,28277,27,3.5,NC,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,0
3827,5887 W Indian School Rd,D2DCpj35nBAJEXguPLaHyw,Phoenix,33.4939252,-112.1851927,Raspados El Zalate,85033,11,4,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,FALSE,No info,No info,0,0,1
4369,5050 N 7th St,q0fX5CAXSURUOM_YDjHP3Q,Phoenix,33.5110791,-112.0653937,AZ Pops,85014,69,4.5,AZ,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
5096,5541 Walnut St,99SN6hku1PToQ2E3-4h8CA,Pittsburgh,40.4518188,-79.9323587,Jitters Cafe,15232,61,4,PA,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,No info,TRUE,No info,No info,0,0,1
6292,"9009 J M Keynes Dr, Ste 4",2232XZ-3ub4S9cmrHJSDFg,Charlotte,35.3105707,-80.7492861,Ninety's Ice Cream & Sandwiches,28262,164,4.5,NC,FALSE,TRUE,TRUE,quiet,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,TRUE,TRUE,No info,FALSE,0,0,0
6648,8502 Park Rd,ABeV2EzgMhyqyZGwXDBVdA,Charlotte,35.117297,-80.857399,TCBY,28210,11,4,NC,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,0
6925,2500 Dunavant St,_lpqjZAseSvoDxPN-_JnzQ,Charlotte,35.204712,-80.86684,King of Pops,28203,88,4.5,NC,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
7007,10490 S Decatur Blvd,0FbFqMBLRGRRdZlGJeXjug,Las Vegas,35.999084,-115.2068864,Purple Penguin Snowcone Shack,89141,30,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
7268,4727 E Bell Rd,HbzO-ZpnoR1hkOaygZPKYA,Phoenix,33.63823957,-111.9783571,Rita's Italian Ice,85032,66,4,AZ,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
8422,2647 W Glendale Ave,TBnB4iIU0pVKkAzN4T8xNg,Phoenix,33.5381782,-112.1334426,Neveria Chayos,85051,42,4.5,AZ,No info,TRUE,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,1,TRUE,TRUE,TRUE,FALSE,0,0,1
8460,"3663 Las Vegas Blvd, Ste 520",q2YXBzJ2S6jM8pbC23f83Q,Las Vegas,36.10887741,-115.1698762,Ben & Jerry's,89109,38,2.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,1
9295,2301 E Sahara Ave,oIcGZlqwrKkyw_L6YAVYfw,Las Vegas,36.144818,-115.1168704,Sonic Drive-In,89104,29,2.5,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
9405,"3021 Charleston Blvd, Ste B",UkFMV7WGFfE_u8zyUkkuqg,Las Vegas,36.1591474,-115.1070562,La Flor de Michoacan,89104,66,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,1
10720,5020 W Spring Mountain Rd,JKbovvbmbQKgb_v7KBpzPA,Las Vegas,36.1265945,-115.20955,Chamon Matcha Salon,89146,37,4,NV,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,FALSE,0,1,No info,FALSE,No info,No info,0,0,0
11625,"3400 S Jones Blvd, Ste 3",E_7RIDFNQfxREnI_E5h0uA,Las Vegas,36.12808149,-115.224562,Matcha Cafe Maiko,89146,237,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,FALSE,0,1,No info,TRUE,TRUE,No info,0,0,0
13006,"2045 E Camelback Rd, Ste A16",pV0eHAVd-guPjogXLnJ_Sg,Phoenix,33.5082758,-112.0372054,Nekter Juice Bar,85016,85,4,AZ,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,Free wifi,FALSE,0,2,TRUE,TRUE,No info,FALSE,0,0,1
14353,3411 W Union Hills Dr,YhdWKWt3sx6YgMIILfh_Xw,Phoenix,33.65410875,-112.1323885,Sonic Drive-In,85027,20,3,AZ,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,TRUE,FALSE,No info,FALSE,0,0,1
14663,"7800 Rea Rd, Ste C",#NAME?,Charlotte,35.0611922,-80.814551,Marble Slab Creamery,28277,40,3.5,NC,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,0,1,No info,TRUE,No info,No info,0,0,0
14745,"801 N 2nd St, Ste 108",g38NqtZvSJ3lHt1APN13aw,Phoenix,33.4568082,-112.0707191,Snoh Ice Shavery - Downtown,85004,156,4.5,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,TRUE,1,1,No info,TRUE,TRUE,No info,0,0,0
14993,6800 Detroit Ave,5VXxZIMgoKRWbNa6x9kMfw,Cleveland,41.4838499,-81.731936,Sweet Moses Soda Fountain & Treat Shop,44102,365,4.5,OH,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,2,No info,TRUE,No info,FALSE,0,0,0
15200,5800 Forbes Ave,SpXBHrRfXJdocVkQa16zxg,Pittsburgh,40.43794243,-79.92283038,Cold Stone Creamery,15217,40,3,PA,No info,No info,TRUE,No info,TRUE,TRUE,TRUE,No wifi,No info,1,2,No info,TRUE,No info,No info,0,0,1
15704,3315 S Valley View Blvd,8REOSFVMO-E1VrmLvY49Tg,Las Vegas,36.130093,-115.190646,Home-Made Ice Cream,89102,12,3,NV,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,Free wifi,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,0,0,0
15831,"21001 North Tatum Blvd, Ste 18-1096",P9KhwXBuHkJEif6TTJsGuQ,Phoenix,33.67467715,-111.9754527,Nekter Juice Bar,85050,81,3,AZ,FALSE,TRUE,TRUE,loud,TRUE,TRUE,FALSE,No wifi,TRUE,1,2,TRUE,TRUE,TRUE,TRUE,0,0,1
16138,4318 Butler St,RqmORv3974ZDC6Zh4nSQwg,Pittsburgh,40.47107284,-79.95992774,Naturoll Creamery,15201,149,4,PA,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,2,No info,TRUE,FALSE,No info,0,0,0
17753,2009 Kenyon Rd,fl2TPNWrchkCbNEg0utjvw,Urbana,40.13320778,-88.1985949,Steak __ Shake,61802,17,2.5,IL,FALSE,TRUE,No info,average,TRUE,TRUE,FALSE,Free wifi,FALSE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
17806,333 E Roosevelt St,3saG51hM2M14G5f-QwhGhg,Phoenix,33.458466,-112.069568,Melt,85004,354,4,AZ,No info,No info,TRUE,No info,TRUE,TRUE,FALSE,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,1,1,1
19169,"9785 S Maryland Pkwy, Ste A1",64h5mGa2cJqLgoEwRfpDUQ,Las Vegas,36.0115413,-115.137115,Cold Stone Creamery,89183,79,2.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,1
19288,1605 Linden Dr,91Y6ASRhkDz3mJG9ezGNiQ,Madison,43.0749778,-89.4137655,Babcock Hall Dairy Store,53706,70,4.5,WI,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
19617,229 Atwood St,NV9ftiLhePO0bNE1z8y6qw,Pittsburgh,40.440542,-79.9564947,Love Yogurt,15213,47,4,PA,FALSE,TRUE,TRUE,average,TRUE,TRUE,FALSE,Free wifi,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,0,0,0
19965,1020 N 1st Ave,RA1Jchnz3uQDg4YVHckKXQ,Phoenix,33.4593921,-112.0743347,Fair Trade Cafe,85003,252,4,AZ,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
20140,2302 Atwood Ave,gtcvMLPePKKyXzSroO4J5A,Madison,43.0935537,-89.3483877,Chocolate Shoppe Ice Cream,53704,16,4.5,WI,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,TRUE,1,1,No info,TRUE,No info,No info,0,0,0
20777,3799 Las Vegas Blvd S,qFGkw4ZORMdl-JKA51GahA,Las Vegas,36.1022507,-115.1699679,Häagen-Dazs,89109,17,4,NV,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,1
21946,801 Searles Ave,bLg02PdDwlQf4x-Ky2hsBw,Las Vegas,36.1847649,-115.1321839,Anderson Dairy,89101,14,3.5,NV,No info,TRUE,No info,No info,TRUE,FALSE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
22563,1709 Murray Ave,Fozo0B-y42EhRMomR0K5vQ,Pittsburgh,40.4377485,-79.9228228,Waffallonia,15217,286,4.5,PA,FALSE,TRUE,TRUE,quiet,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,FALSE,TRUE,No info,FALSE,0,0,1
22825,2311 N 35th Ave,Bny78w8kQKHof_Xvqmj3wg,Phoenix,33.47339036,-112.1334292,Dulceria La Bonita Wholesale,85009,11,4,AZ,No info,No info,FALSE,No info,FALSE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,1
22879,7206 Mineral Point Rd,UROWdKGa1IQ19Jk4tExvVQ,Madison,43.0611479,-89.5067874,Culver's,53717,24,3.5,WI,TRUE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
23408,"7460 S Rainbow Blvd, Ste 110",_6UaHEnDDbUla3Pa3VVu3Q,Las Vegas,36.05318196,-115.2414455,Asia Creamery,89139,116,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
25043,"6300 South Blvd, Ste 100",Bp75bv1iyCy6yiHz3KKhyA,Charlotte,35.1493732,-80.8773851,La Michoacana,28217,20,4,NC,No info,No info,No info,No info,TRUE,TRUE,No info,Free wifi,No info,0,1,No info,FALSE,No info,No info,0,0,0
25085,"9055 S Eastern Ave, Ste 1A",WQyGqfFKd-baBTVfZWzeTw,Las Vegas,36.0253639,-115.1190162,Yogurtland,89123,140,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
25419,3200 S Las Vegas Blvd,8CNNs7jFv0yVptAvnga4xQ,Las Vegas,36.12758661,-115.1683575,Sticks & Shakes,89109,85,3.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,2,No info,FALSE,TRUE,No info,0,0,0
25840,3600 S Las Vegas Blvd,huOCKRwDvNqGX3KSzYawbw,Las Vegas,36.112133,-115.176792,Cafe Gelato,89109,218,4,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,FALSE,1,2,TRUE,FALSE,No info,FALSE,0,0,1
25899,5685 Mountain Vista,clXf1Kkl5ynDMBhKS9a_Vw,Las Vegas,36.0861029,-115.0737979,Snow Vegas Shave Ice,89120,12,5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,TRUE,No info,0,0,0
26005,2535 S Las Vegas Blvd,6UI3dCIY6eM1eBOsnEVBuw,Las Vegas,36.1423694,-115.156034,The Perq,89109,104,3.5,NV,FALSE,FALSE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,FALSE,1,2,FALSE,FALSE,TRUE,FALSE,1,1,1
26022,"9711 S Eastern Ave, Ste H-1",#NAME?,Las Vegas,36.0126257,-115.1195258,La Flor de Michoacan,89183,48,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,0
26098,"14126 Rivergate Pkwy, Ste 100",SYLlWyEfmkS0EPCv31-_cg,Charlotte,35.1028582,-80.9849921,Cold Stone Creamery,28273,40,2.5,NC,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,0,2,No info,TRUE,No info,No info,0,0,0
26689,14835 Ballantyne Village Way,oU8mRUY-XtaVR_RSgKZtTA,Charlotte,35.0527518,-80.8514933,TCBY,28277,12,3.5,NC,No info,No info,No info,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
26879,"2272 S Nellis Blvd, Ste 4",pd9zEKWDp0NKSj7ebRMr4w,Las Vegas,36.14518842,-115.0630874,Yogurtland,89142,19,4,NV,No info,TRUE,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,0
27190,"8156 S Tryon, Ste C",IicSYcYs9_prA7CyPJOugw,Charlotte,35.1441372,-80.9329131,Sweet Frog Premium Frozen Yogurt,28273,25,4,NC,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
27191,10625 N Tatum Blvd,t2rB8S27zl4Uzo16kiAQdg,Phoenix,33.5834399,-111.9768301,The Screamery,85028,62,4.5,AZ,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,FALSE,TRUE,No info,0,0,0
27270,208 State St,10jP6njt3elD90gaHF1FBQ,Madison,43.074998,-89.388534,Kilwins,53703,67,4.5,WI,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,2,No info,TRUE,No info,No info,0,0,0
27773,4860 S Eastern Ave,HqyAd-xCZxnJb3IlHCfL9w,Las Vegas,36.1005917,-115.1172961,Baskin-Robbins,89119,38,4,NV,FALSE,TRUE,TRUE,quiet,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
27875,1033 South Rainbow Blvd,lGiUZcTvuMdx28YMvqZ2vw,Las Vegas,36.1595495,-115.2453894,Fresh Boba Tea,89145,108,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,FALSE,1,1,No info,TRUE,TRUE,No info,0,0,0
28293,9606 N 19th Ave,bIqpLN-_q1XSKdgbi5GKRw,Phoenix,33.57314757,-112.1001154,Sonic Drive-In,85021,20,3,AZ,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,TRUE,TRUE,No info,FALSE,0,0,1
28332,1705 E Carson St,K8M3OeFCcAnxuxtTc0BQrQ,Pittsburgh,40.4290928,-79.9816954,The Milk Shake Factory,15203,236,4,PA,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,2,No info,TRUE,No info,No info,0,0,1
28437,6629 S Central Ave,5fM69_oyGPAtrvR7bSGVOg,Phoenix,33.385681,-112.0729321,Oasis Raspados,85042,24,4,AZ,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
28511,6168 Centre Ave,MdjZQiYwl8tljeAbx_fFZQ,Pittsburgh,40.4603479,-79.9228974,Menchie's Frozen Yogurt,15206,18,4.5,PA,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,0,2,No info,TRUE,No info,No info,0,0,0
28560,315 Camp Horne Rd,mYxBkLITB0xhGH2LutxlRg,Pittsburgh,40.51815637,-80.09171311,Custard's First Stand,15202,16,4,PA,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
28908,3340 E Flamingo Rd,NiQ_3tXqkoe6GaQ5w2sHaQ,Las Vegas,36.1174717,-115.1014805,Sonic Drive-In,89121,63,2.5,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,TRUE,TRUE,No info,FALSE,1,1,1
29190,5777 E Mayo Blvd,DE37j9FjAfysF5q7jQ507Q,Phoenix,33.65861893,-111.9565811,Mayo Clinic Hospital Cafeteria,85054,39,3.5,AZ,TRUE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
29465,"7910 S Rainbow Blvd, Ste 110",Hp8k_RpSIWSeJguyaQpfIw,Las Vegas,36.0443917,-115.2429631,Gelatology,89139,578,4.5,NV,No info,No info,TRUE,No info,TRUE,TRUE,FALSE,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
29764,1626 East Blvd,yWUBX9Pe6pzh1PjVj04UmQ,Charlotte,35.1989724,-80.8408711,Bad Daddy's Burger Bar,28203,505,4,NC,TRUE,TRUE,TRUE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,2,TRUE,TRUE,TRUE,FALSE,0,0,1
30077,555 S Midvale Blvd,UkfyZevcq5jmjNWMbLb1OQ,Madison,43.0546236,-89.4508969,Chocolate Shoppe Ice Cream,53711,26,3.5,WI,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
30910,3817 Milwaukee St,IPUGrf2xuClfxfBIA020kw,Madison,43.0968075,-89.3189585,Woodman's Market,53714,98,3.5,WI,No info,No info,FALSE,No info,FALSE,FALSE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,1,1,1
31523,"3911 E Thomas Rd, Ste 4",bSja2oCB8VunhYpHaMj9cw,Phoenix,33.47968102,-111.9972905,Water And Ice,85018,25,4,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
33881,5523 Walnut St,kwMJ4KfhEcrk9jiMe-S6wQ,Pittsburgh,40.4516601,-79.9329553,Mercurio's,15232,318,4,PA,FALSE,TRUE,TRUE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,2,TRUE,TRUE,No info,FALSE,0,0,0
33943,"4360 Blue Diamond Rd, Suite 106",PJxqFL-xUmUaCe2STc5VRA,Las Vegas,36.0387297,-115.198596,Baskin-Robbins,89139,54,3,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
34296,3790 Las Vegas Blvd S,EDHGSQVfjEWI_VCURz84eg,Las Vegas,36.1023786,-115.1745465,Häagen-Dazs,89109,11,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,1
34979,"3611 Mt Holly-Huntersville Rd, Ste 201",yfKpKKBnz-oNSWfdvapO_A,Charlotte,35.3251183,-80.9463032,Coppa Coffee and Tea Cafe,28216,26,4,NC,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,No info,TRUE,No info,No info,0,0,0
35283,7715 S Rainbow Blvd,F3oDNZGUJBIHHy4wQ5jRGw,Las Vegas,36.048266,-115.243586,Dairy Queen,89113,93,2,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,FALSE,No info,FALSE,0,0,1
35329,4210 Main St,lv4erkIq2VCIOGC46T8TsQ,Pittsburgh,40.464744,-79.9541166,Twisters Soft Serve Ice Cream,15224,20,3.5,PA,No info,No info,No info,No info,TRUE,FALSE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
35399,3799 Las Vegas Blvd S,#NAME?,Las Vegas,36.10389158,-115.1693195,Blizz,89109,78,3,NV,No info,TRUE,No info,No info,TRUE,TRUE,FALSE,Free wifi,No info,1,2,TRUE,FALSE,No info,FALSE,0,0,1
36248,7390 W Cheyenne Ave,OPiPeoJiv92rENwbq76orA,Las Vegas,36.21875267,-115.2568106,Sonic Drive-In,89129,83,3,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
36256,5501 Josh Birmingham Pkwy; Concourse D,qKdqQAgUepS1rF_FTtScgQ,Charlotte,35.2205406,-80.9411393,Pinkberry,28208,37,3,NC,No info,No info,No info,No info,TRUE,TRUE,No info,Free wifi,No info,1,2,No info,FALSE,No info,No info,0,0,1
36322,"5549 E. Indian School Rd., #103",mwex6DE5txdjblHMlHUkhw,Phoenix,33.488545,-111.9613316,Zoyo Frozen Yogurt - Phoenix Arcadia,85018,15,4,AZ,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,1
37599,1224 W 6th St,OyfXVKjDy7VviVWkUxkk1g,Cleveland,41.50096477,-81.69991031,Insomnia Cookies,44113,27,3.5,OH,No info,No info,TRUE,No info,TRUE,TRUE,TRUE,No wifi,No info,0,2,No info,TRUE,No info,No info,1,1,1
37660,6301 W Lake Mead Blvd,iu-KRfucMNM1j9-EstPGXg,Las Vegas,36.19542792,-115.230753,Sonic Drive-In,89108,41,2,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
37665,"1000 S Rampart Blvd, Ste 15",lWnG8JOua6jJ_STTLLstlg,Las Vegas,36.16036,-115.289683,Ice Land Vegas,89145,86,4.5,NV,No info,TRUE,TRUE,No info,TRUE,TRUE,No info,Free wifi,TRUE,1,1,No info,TRUE,TRUE,No info,0,0,0
37780,"7540 W Indian School Rd, Ste A4",MeSrAvgBNWHP2Js2--b6zw,Phoenix,33.4955059,-112.2221483,P.A.K Crepes & Coffee,85033,66,4.5,AZ,TRUE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,0,1,TRUE,FALSE,TRUE,FALSE,0,0,1
38158,"4906 W Lone Mountain Rd, Ste A105",6roYDeCtF1wcXfQ9iaRv7g,Las Vegas,36.2473134,-115.209694,Baskin-Robbins,89130,19,4,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
38200,761 E Union Hls Dr,BWVMaAZS6DMVk_wU9jVc7w,Phoenix,33.6545061,-112.0632721,Dairy Queen,85024,28,2.5,AZ,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,TRUE,TRUE,No info,FALSE,0,0,0
38260,"4512 E Washington Ave, Ste 14",8mtP3VJ8Ylvz-rEo_osWgg,Madison,43.1295597,-89.3092764,La Michoacana,53704,14,5,WI,No info,No info,No info,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,1
38671,1218 N Euclid Ave,37PlKoT60Qfo_G8V2NRfCQ,Pittsburgh,40.47603089,-79.91953768,LaScola's Italian Ice & Custard,15206,17,4.5,PA,No info,No info,FALSE,No info,FALSE,TRUE,No info,Free wifi,No info,0,2,No info,TRUE,No info,No info,0,0,0
39254,2531 Monroe St,RmwfJrR4__hd5Scae5qsTw,Madison,43.0576515,-89.4276171,Michael's Frozen Custard,53711,72,3.5,WI,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
39547,4809 N 75th Ave,UUyAGY5-6SbMfS7Iun5AGg,Phoenix,33.5079943,-112.220134,Dairy Queen,85033,14,2,AZ,No info,No info,No info,No info,TRUE,TRUE,No info,Free wifi,No info,0,1,No info,TRUE,No info,No info,0,0,0
