,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state,HasTV,GoodForKids,Caters,NoiseLevel,RestaurantsTakeOut,BusinessAcceptsCreditCards,RestaurantsDelivery,WiFi,OutdoorSeating,BusinessParking,RestaurantsPriceRange2,RestaurantsGoodForGroups,BikeParking,WheelchairAccessible,RestaurantsReservations,weekday_close_after_23,weekend_close_after_23,weekend_hour_g11
39626,1726 Fordem Ave,gOIVkoHTt2xL83dgyM0tuw,Madison,43.0947001,-89.363672,Chocolate Shoppe Ice Cream,53704,13,4,WI,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
40541,3950 Las Vegas Blvd S,PSMJesRmIDmust2MUw7aQA,Las Vegas,36.09342097,-115.1761449,Yogurt In,89119,97,2.5,NV,FALSE,TRUE,FALSE,No info,TRUE,TRUE,FALSE,No wifi,FALSE,1,2,TRUE,FALSE,No info,FALSE,1,1,1
40558,3431 N Rancho,yGXKMV1omio1I_3qNLdtAA,Las Vegas,36.2206412,-115.2161259,Sonic Drive-In,89130,27,3,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,TRUE,TRUE,No info,FALSE,1,1,1
40621,1336 Drake St,1ZkcNwQpIESg8LuAHzye6Q,Madison,43.062774,-89.408866,ZuZu Cafe & Market,53715,66,3.5,WI,FALSE,TRUE,No info,quiet,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
40657,20230 Lorain Rd,RQ_nzDzcc7pxYsfh6SKNRQ,Cleveland,41.449174,-81.8440587,Webers Premium Custard & Ice Cream,44126,29,4.5,OH,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
41322,"1304 E Chandler Blvd, Ste 104",Hw-yFY8Fz8HOvY6I5l7Ljg,Phoenix,33.3063767,-112.0550425,Yoasis,85048,57,4,AZ,TRUE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
41549,2737 E Carson St,DB1fdI2UGujYViApLsFLBg,Pittsburgh,40.4267356,-79.9664172,Sincerely Yogurt,15203,13,3.5,PA,No info,No info,No info,No info,TRUE,TRUE,No info,Free wifi,No info,1,2,No info,TRUE,No info,No info,0,0,0
41588,"7325 S Rainbow Blvd, Ste 110",0f1ZKmUAcuI7Xz3GLWnsNw,Las Vegas,36.0551922,-115.2434261,Creamistry,89139,60,4,NV,No info,No info,TRUE,No info,FALSE,TRUE,No info,Free wifi,No info,0,1,No info,TRUE,TRUE,No info,0,0,0
41681,"6530 N Buffalo Dr, Ste 150",rVi34tu0bITsoxMMT9QhUw,Las Vegas,36.2807229,-115.2653063,Smoothie King,89131,96,2.5,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,2,No info,TRUE,No info,No info,0,0,1
42135,3715 Forbes Ave,jTlcLfsSDGnHcbjL1aD9Zw,Pittsburgh,40.4414677,-79.9574362,Forbes Gyro,15213,55,3.5,PA,FALSE,TRUE,FALSE,average,TRUE,TRUE,TRUE,No wifi,FALSE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
42338,2205 S Rainbow Blvd,MJXL27XNMm15NQ-MGP8jhw,Las Vegas,36.1470686,-115.2434956,Dairy Queen,89146,35,2.5,NV,TRUE,TRUE,No info,No info,TRUE,TRUE,FALSE,No wifi,FALSE,0,1,TRUE,FALSE,No info,FALSE,0,0,0
42745,505 E Oakey Blvd,#NAME?,Las Vegas,36.15146586,-115.1515539,Luv It Frozen Custard,89104,707,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Paid wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
43701,4806 Liberty Ave,Q8b36PEPL61nxeQDcLBV7g,Pittsburgh,40.46040026,-79.94684553,Scoops in Bloomfield,15224,47,4,PA,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
44318,"5020 Spring Mountain Rd, Ste 3",VHZPbCbIPHEkKOotdCTiow,Las Vegas,36.12674264,-115.2094114,Milkywave,89146,735,4.5,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,TRUE,No info,0,0,0
45044,"Bally's Hotel Casino, 3645 Las Vegas Blvd S",tN1_mcpulkykiecApuYlTA,Las Vegas,36.1142224,-115.1708505,Evening Call,89109,26,4.5,NV,TRUE,No info,No info,average,TRUE,TRUE,No info,Paid wifi,FALSE,1,2,TRUE,TRUE,No info,FALSE,1,1,1
45102,"6446 N Durango Dr, Ste 140",ZK4LvZ2n3uD5kR6tp6hsZQ,Las Vegas,36.2780439,-115.2871386,Chill Haus,89149,116,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,FALSE,1,1,No info,FALSE,TRUE,No info,0,0,0
45335,748 E Mcdowell Rd,FIsikYUtIBJ0BKT_Ig-GhQ,Phoenix,33.466177,-112.063227,Sonic Drive-In,85006,26,3,AZ,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
45365,1149 Evergreen Ave,Nu8xtxng4PKFQV1CBLeHgA,Pittsburgh,40.4928468,-79.9748057,Stickler's Ice Pops,15209,12,5,PA,No info,No info,TRUE,No info,FALSE,TRUE,FALSE,No wifi,No info,0,1,No info,FALSE,FALSE,No info,0,0,0
45585,"3708 Las Vegas Blvd S, Level 2, Eastside Tower",XQETjKH84gxDrAiz2lH7Wg,Las Vegas,36.109951,-115.175393,Milk Bar Las Vegas,89109,759,3.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,FALSE,1,2,No info,TRUE,No info,No info,1,1,1
45658,4212 Forbes Ave,Oy9xDxD-JtUzSurhOhboLg,Pittsburgh,40.44312168,-79.95314683,Waffallonia,15260,67,4.5,PA,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
45919,4260 W Flamingo Rd,On8O41uCKj1GfF1Bt4S2Lg,Las Vegas,36.11603285,-115.1973662,Sonic Drive-In,89103,203,3,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,1,1,1
45976,4751 E Warner Rd,1JmSxEQZQn1AitoNHxvHBQ,Phoenix,33.33048237,-111.981229,Dairy Queen,85044,34,3,AZ,FALSE,TRUE,TRUE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,FALSE,No info,FALSE,0,0,1
46599,1867 W 25th St,xfCgxY_SQfzxFsQjNiLJEQ,Cleveland,41.485917,-81.704254,Mitchell's Homemade Ice Cream - Cleveland,44113,318,5,OH,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,1
47022,6250 State Rd,IVBviNFlrVuQD42yPUnK7Q,Cleveland,41.39391889,-81.71076084,Honey Hut Ice Cream Shoppe,44134,34,5,OH,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
47453,"111 N Nellis Blvd, Ste 140",bKkg_SW-lWU2XDNVodksOg,Las Vegas,36.16207632,-115.0625002,Menchie's Frozen Yogurt,89110,41,4.5,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
47557,"9500 S Eastern Ave, Ste 110",gHGRzRa5qb577oWHAO7xew,Las Vegas,36.01647123,-115.1172248,Rolled Ice Cream,89123,191,4,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
48059,412 Perry Hwy,ynKAUSYi3c8M-rkVJI1PcQ,Pittsburgh,40.518468,-80.0316117,DiPietro's,15229,48,3.5,PA,TRUE,TRUE,FALSE,average,TRUE,TRUE,TRUE,No wifi,FALSE,1,2,TRUE,TRUE,No info,TRUE,0,0,0
48448,11607 Euclid Ave,q4KI2aUkrCnje3jqKBMULg,Cleveland,41.510915,-81.603487,Piccadilly Artisan Creamery,44106,82,4.5,OH,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,2,No info,TRUE,No info,No info,0,0,0
48820,4127 Butler St,D_O7ebohrbgwRmATmVwN8Q,Pittsburgh,40.47011576,-79.96089111,FRIO Creamery,15201,19,5,PA,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,TRUE,TRUE,No info,0,0,0
48897,9809 S Eastern Ave,hojZyJk1Wf2UE2CpG7cgIg,Las Vegas,36.01107788,-115.1193237,Freddy's Frozen Custard & Steakburgers,89183,384,4,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,0,0,0
49498,"7377 S Jones Blvd, Ste 115",-95mbLJsa0CxXhpaNL4LvA,Las Vegas,36.055251,-115.225806,The Perfect Scoop & Boba Tea,89139,688,3.5,NV,No info,No info,TRUE,No info,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,No info,FALSE,No info,No info,1,1,1
49894,"875 South Grand Central Pkwy, Unit 1258",OQUJBH55AH8rm-eR7X-CrQ,Las Vegas,36.16524866,-115.1571912,Amorino Gelato,89106,90,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,2,No info,FALSE,No info,No info,0,0,1
50374,4231 W Dunlap Ave,ortVZ6ZUTK7CR41B7AwtXQ,Phoenix,33.5672452,-112.1497881,Dairy Queen,85051,26,2.5,AZ,FALSE,TRUE,No info,No info,TRUE,TRUE,FALSE,No wifi,FALSE,0,1,TRUE,TRUE,No info,FALSE,0,0,1
50487,"475 E Bell Rd, Ste 170",LdSIXJeWpK5u8tq-nKxQ1w,Phoenix,33.6399201,-112.0669657,Yogurtini,85022,136,4,AZ,No info,No info,TRUE,No info,TRUE,TRUE,FALSE,Free wifi,No info,1,1,No info,TRUE,No info,No info,1,1,1
50679,"9820 Rea Rd, Ste B",7i_FVSJQle6cQWTZnFyCrQ,Charlotte,35.03482646,-80.80558689,Cold Stone Creamery,28277,21,4,NC,No info,No info,TRUE,No info,TRUE,TRUE,FALSE,No wifi,No info,0,2,No info,TRUE,No info,No info,0,0,0
51284,2795 Saw Mill Run Blvd,rzByiKaj-bLeLz-zKNBQdg,Pittsburgh,40.3786478,-79.989968,Dairy Queen,15227,19,2.5,PA,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
51409,1139 E Glendale Ave,iObLvZHRZ0RLTQOu-swDgA,Phoenix,33.53797728,-112.0569679,Zoyo Neighborhood Yogurt,85020,78,4,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
51983,3645 South Las Vegas Blvd,lzQxNWlUVXJM2uqBeZafaQ,Las Vegas,36.11432186,-115.1708663,Blizz Frozen Yogurt - Bally's Hotel & Casino,89109,12,3,NV,TRUE,TRUE,No info,No info,TRUE,TRUE,FALSE,No wifi,FALSE,0,1,TRUE,TRUE,No info,TRUE,0,0,1
52933,3900 Las Vegas Blvd S,_WEZNXybW8cu1T1KAiY08w,Las Vegas,36.09668477,-115.17689,Blizz Frozen Yogert & Desserts,89119,35,2.5,NV,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,0,2,No info,FALSE,No info,No info,0,0,0
53023,"1780 N Buffalo Dr, Ste 107",Cf6fac73iYBXwkul-lm4vw,Las Vegas,36.1915274,-115.2594518,Bover,89128,188,4.5,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
53141,"9350 W Sahara Ave, Ste 140",yYwTV3c9Q3S1UDdpDhjgTg,Las Vegas,36.14698821,-115.2994773,Cold Stone Creamery,89117,128,3.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,Free wifi,No info,0,1,No info,TRUE,No info,No info,0,0,1
53482,3553 W Dunlap Ave,vn5Ebwy-IdtJ6PQE6y7vaA,Phoenix,33.56674,-112.1359928,Halo-Halo Kitchen,85051,215,3.5,AZ,TRUE,TRUE,TRUE,average,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,FALSE,No info,FALSE,0,0,0
54190,"1028 Grand Ave, Ste 6",PtJ02ZaHGB7yQxMHI7hDMw,Phoenix,33.45542247,-112.0866099,Novel Ice Cream,85007,386,5,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
54976,"4870 Blue Diamond Rd, Ste 100",9rC6RR79KEgAp2-Qfxfn6A,Las Vegas,36.0336334,-115.2074885,Rolled Ice Cream,89139,19,3.5,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,1
55418,"34455 N 27th Dr, Ste 101",3lRXNifVJDgqylwaQEHvGw,Phoenix,33.797324,-112.117516,Dairy Queen,85085,18,2,AZ,FALSE,TRUE,No info,No info,TRUE,TRUE,FALSE,Free wifi,FALSE,1,2,FALSE,FALSE,No info,FALSE,0,0,1
55774,"707 Fremont St, Ste 1300",KiO4n-yRhKM0SZhGpsD49Q,Las Vegas,36.16793082,-115.1380771,Waffelato,89101,33,4,NV,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,No wifi,TRUE,1,2,TRUE,TRUE,TRUE,FALSE,0,0,0
57223,3545 S Las Vegas Blvd,YXohNvMTCmGhFMSQsDZq1g,Las Vegas,36.117485,-115.169832,Sprinkles Cupcakes and Ice Cream,89109,855,4,NV,No info,No info,TRUE,No info,TRUE,TRUE,TRUE,Free wifi,No info,1,2,No info,TRUE,No info,No info,1,1,1
58708,"1949 E Camelback Rd, Ste 162",SgFJaawsw9ATzuUmS7ho_w,Phoenix,33.50768,-112.039869,Cold Stone Creamery,85016,35,2.5,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,2,No info,FALSE,No info,No info,0,0,1
58903,8200 Providence Rd,iAD5r5vNOzc1AP6UA5yFiQ,Charlotte,35.095238,-80.779082,Bella Fresco,28277,137,3.5,NC,TRUE,TRUE,TRUE,average,TRUE,TRUE,TRUE,Free wifi,TRUE,1,2,TRUE,TRUE,No info,TRUE,0,0,0
59614,"9480 S Eastern Ave, Ste 100",tEaW0zgsYihSTjysrpXaWg,Las Vegas,36.0171469,-115.1171168,Nielsen__ Frozen Custard,89123,457,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
59691,3355 Las Vegas Blvd S,Te8ubqIn8aH2uplVhvMntw,Las Vegas,36.12264766,-115.1687958,Cocolini's,89109,135,3,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,FALSE,1,2,No info,FALSE,No info,No info,0,0,0
60040,"4810 E Ray Rd, Ste 7A",qeQjp9pa9PkyXDv9P5l4Ow,Phoenix,33.3212152,-111.9795485,Yummies Yogurt,85044,37,3.5,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,1
60702,3301 S Jones Blvd,U9_8pqsGTMyuliV4b4cvgQ,Las Vegas,36.1287386,-115.2254058,Baskin-Robbins,89146,68,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,Free wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
61057,12925 S 48th St,gio48on8yQyFW1fJ1dChGg,Phoenix,33.329939,-111.980085,Andy's Frozen Custard,85044,91,4,AZ,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,2,No info,TRUE,TRUE,No info,0,0,1
61196,10975 Oval Park Dr,jBh399TajGcH28Zo2J1pHw,Las Vegas,36.1515318,-115.3330157,Shake Shack,89135,547,3.5,NV,TRUE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,2,TRUE,TRUE,TRUE,FALSE,0,0,0
61211,"6592 N Decatur Blvd, Ste 100",Oov46oqwdu6ljHokq1xjfg,Las Vegas,36.27981785,-115.2050081,U-Swirl Frozen Yogurt,89131,98,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
61899,5757 Wayne Newton Blvd,0tWXOKgrO1tAuZhu5X8HNw,Las Vegas,36.0807522,-115.1393012,Red Mango,89119,17,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,0,1,No info,FALSE,No info,No info,0,0,0
62382,4036 N Tenaya Way,qZQI5SSqreUqVHl8i8JwOA,Las Vegas,36.2339397,-115.2507772,Dairy Queen,89129,27,3,NV,FALSE,TRUE,No info,No info,TRUE,TRUE,FALSE,No wifi,TRUE,0,1,FALSE,FALSE,No info,FALSE,0,0,0
62392,2405 Eastern Ave,5TeA1dyLR7MIor-DfIrYog,Las Vegas,36.14441298,-115.1186299,Cherry Berries,89104,41,4,NV,TRUE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
62406,4847 Shopton Rd,s2B_ZeSGTlQ3qbm0dOY5rg,Charlotte,35.171097,-80.9635474,Hwy 55 Burgers Shakes & Fries,28278,71,3,NC,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,FALSE,0,1,TRUE,TRUE,No info,FALSE,0,0,0
62562,"4325 E Indian School Rd, Ste 110",RazK5AssZZ9l_W6h-bTkUw,Phoenix,33.4941043,-111.988346,Creamistry,85018,139,3,AZ,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,2,No info,TRUE,TRUE,No info,0,0,0
62789,"1616 Las Vegas Blvd S, Ste 130",CYeICxCmbdYbOEQxVS8_Gw,Las Vegas,36.15141954,-115.1526284,D-Scoops & Sweets Art of Flavor,89104,41,5,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
63037,3446 W Camelback Rd,U5qwBnjmf54Q4pW8Zajt7A,Phoenix,33.510306,-112.1324027,YobaHut,85017,36,4,AZ,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,1
63163,3400 E Sky Harbor Blvd,Wl33gUSRNpWth-Z5li4JwQ,Phoenix,33.43674775,-111.9966791,Sweet Republic,85034,37,3.5,AZ,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,0,1,No info,FALSE,No info,No info,0,0,0
63385,"6120 W Tropicana Ave, Ste A17",6T39H2dGUnrM91WqvR0VcQ,Las Vegas,36.1014755,-115.225565,Mr Tea,89103,363,4.5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,TRUE,1,1,No info,TRUE,TRUE,No info,0,0,0
64461,9020 St Simon Way,VNyrLWOqd8o6RdKs0I6Fwg,Pittsburgh,40.56901511,-80.02503337,Handel's Homemade Ice Cream & Yogurt,15237,28,4.5,PA,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,1
65580,913 Central Ave,m3XOBJyAJIWEJJUpngVLLw,Charlotte,35.221885,-80.8225322,Two Scoops Creamery,28204,202,4.5,NC,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
65723,535 Liberty Ave,Hb717wjzx1Q7cVXQo1-u2w,Pittsburgh,40.441994,-80.002562,BRGR,15222,32,4,PA,TRUE,TRUE,No info,No info,TRUE,TRUE,FALSE,No wifi,TRUE,1,2,TRUE,TRUE,No info,TRUE,0,0,0
65894,3860 Chartiers Ave,PnfQvtyc5QNcKj7UCY-Riw,Pittsburgh,40.4590524,-80.0769992,Remember When Ice Cream,15204,18,4,PA,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,TRUE,No info,0,0,0
66976,5823 N 7th St,1r9xmPVZqsiTNQr_FAcs8w,Phoenix,33.522572,-112.064706,Mary Coyle Ol' Fashion Ice Cream,85014,115,4,AZ,TRUE,TRUE,TRUE,average,FALSE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,0,0,0
67773,"455 N 3rd St, Ste 120",36psxeiUa-zB0XiOoFXubA,Phoenix,33.45284363,-112.068589,Cold Stone Creamery,85004,38,3,AZ,No info,No info,No info,No info,TRUE,TRUE,No info,No wifi,No info,0,2,No info,TRUE,No info,No info,0,0,1
68025,"7501 W Lake Mead Blvd, Ste 105, Summerhill Plaza Strip Mall",EomaPrsFLVSe9TLRtpevwA,Las Vegas,36.195137,-115.257322,Dairy Queen,89128,35,3.5,NV,FALSE,TRUE,FALSE,No info,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,TRUE,FALSE,0,0,0
68296,3570 Las Vegas Blvd S,uF7sXHXZUy5UuyjsesJ4Jg,Las Vegas,36.116208,-115.175068,Della Spiga Cafe,89109,38,1.5,NV,No info,No info,No info,No info,TRUE,TRUE,No info,Free wifi,No info,1,3,No info,FALSE,No info,No info,0,0,0
68940,6135 S Pecos,WlTeMP8p3m1b3LxkfBllLQ,Las Vegas,36.07833293,-115.1015188,Sonic Drive-In,89120,41,3,NV,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
69328,12456 N 28th Dr,DkNJFy9cEM606nsgfs494g,Phoenix,33.5998082,-112.1199908,Dairy Queen,85029,22,2.5,AZ,FALSE,TRUE,FALSE,quiet,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,FALSE,No info,FALSE,0,0,0
69808,"8451 Davis Lake Pkwy, Ste B1",j7MAcrMGsiRCrFLLQH-XEQ,Charlotte,35.33435757,-80.81444529,Hwy 55 Burgers Shakes & Fries,28269,64,3,NC,FALSE,TRUE,TRUE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,0
69838,"9211 N Tryon St, Ste 4",mv9ml_hdkfaFZOfFumdGBQ,Charlotte,35.31218148,-80.74584093,Insomnia Cookies,28262,54,3.5,NC,No info,No info,TRUE,No info,TRUE,TRUE,TRUE,No wifi,No info,0,1,No info,TRUE,No info,No info,1,1,1
69919,305 N Nellis Blvd,AZRUB9twDxhm3JYicAw0NA,Las Vegas,36.1671956,-115.0627704,U-Swirl Frozen Yogurt,89110,47,3,NV,No info,No info,TRUE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,FALSE,TRUE,No info,0,0,1
71297,774 Penn Ave,80-1hn5fAJXFsxuyLe0w7A,Pittsburgh,40.4427831,-79.8827979,Leona's Ice Cream Sandwiches,15221,16,4.5,PA,No info,No info,No info,No info,TRUE,TRUE,FALSE,No wifi,No info,0,1,No info,TRUE,No info,No info,0,0,0
71583,300 S Craig St,Sd6kNeNCpY3FkGF-RmjQHw,Pittsburgh,40.44569191,-79.9489865,Razzy Fresh,15213,86,4,PA,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,No info,1,1,No info,TRUE,No info,No info,1,1,1
71959,1316 Poplar St,Dz48AHU652_zg43sBPRb9w,Pittsburgh,40.427698,-80.052296,Antney's,15205,112,5,PA,No info,No info,FALSE,No info,TRUE,TRUE,No info,No wifi,No info,1,1,No info,TRUE,No info,No info,0,0,0
72067,"1220 E Harmon Ave, Ste A",2rvBPUBtQU0WfcOAHLQWRQ,Las Vegas,36.1079963,-115.1363937,Crunch Donut Factory,89119,154,3.5,NV,FALSE,TRUE,TRUE,average,TRUE,TRUE,TRUE,Free wifi,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,1,1,1
72392,"11725 North 19th Ave, Ste 12",cnXyideAGnrIjKjLjOZcHA,Phoenix,33.59184689,-112.0991455,Raspados el Tarasco,85029,13,4.5,AZ,No info,No info,FALSE,No info,FALSE,TRUE,No info,Free wifi,No info,0,1,No info,FALSE,TRUE,No info,0,0,0
72448,"4045 S Buffalo Dr, Ste A108",u-3exVNGKE0iJ7nnxS3BbA,Las Vegas,36.1153027,-115.2626279,Cloud Tea,89147,145,5,NV,No info,No info,FALSE,No info,TRUE,TRUE,No info,Free wifi,FALSE,1,1,No info,FALSE,TRUE,No info,1,1,1
73213,12 Ogden Ave,egpDg61SdYbKWvCpPM7Nbg,Las Vegas,36.17315678,-115.1451971,Lappert's Ice Cream Shop,89101,220,4,NV,No info,No info,FALSE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,1,No info,FALSE,No info,No info,0,0,1
73805,4007 E Greenway Rd,MOi64A9mDpK9zUB8546L8Q,Phoenix,33.6260043,-111.9955494,Sonic Drive-In,85032,57,2.5,AZ,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
74111,3826 Atwood Ave,V46DbgV5cTnYAwpBS70owQ,Madison,43.085135,-89.3252429,Michael's Frozen Custard,53714,57,3,WI,FALSE,TRUE,FALSE,average,TRUE,TRUE,FALSE,Free wifi,TRUE,1,1,TRUE,TRUE,No info,FALSE,0,0,1
74318,571 State St,Mp-spZbBtbHkzubDSYPs2Q,Madison,43.0748002,-89.3954462,"MOOYAH Burgers, Fries & Shakes",53703,43,4,WI,TRUE,TRUE,FALSE,average,TRUE,TRUE,FALSE,No wifi,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,0,0,0
74435,6656 Odana Rd,-2Arz8twKJmxHMS3Sv-TeA,Madison,43.056055,-89.4954923,Steep & Brew West,53719,29,3.5,WI,No info,No info,TRUE,No info,TRUE,TRUE,No info,Free wifi,FALSE,1,1,No info,TRUE,TRUE,No info,0,0,0
75108,"2700 W Mallard Creek Church Rd, Ste 210",pOfQ5CnE8YxZeQNvf7WdkQ,Charlotte,35.340251,-80.7649579,Cold Stone Creamery,28262,35,3,NC,No info,No info,TRUE,No info,TRUE,TRUE,FALSE,No wifi,No info,1,2,No info,FALSE,No info,No info,0,0,0
75465,"4750 W Sahara Ave, Ste 14",mZZpoSSg9-PteV7EV-Keqg,Las Vegas,36.145865,-115.20639,Chamango,89102,51,3.5,NV,FALSE,TRUE,TRUE,loud,TRUE,TRUE,TRUE,Free wifi,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,0,0,1
